scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,1,0.14448333333333332,Forward,0.3340999843292657,388.5823913222994,17705.0,17721.771048321698,ok,0.0006292733890065451,2.712804711599467e-11,14501.3897576502,ok,-79.91128254454088,65.94630962962272,-0.11620180596943208,-62.796337193440195,61.263439952520244,-0.09131436209994435,1.3163693763207198,0.004001623917196037,0.005390869595656468
1,1,0.28031666666666666,Forward,0.3343684062502935,388.8824014866732,17715.0,17721.31103912748,ok,0.000628375218383305,0.001805671024301894,14500.829331491554,ok,-80.37129173876019,65.94564071407751,-0.116870721514631,-63.356763352087,61.26262501713599,-0.09212929748420592,1.3163693763207198,0.004405464355519209,0.005390869595656468
2,1,0.4159,Forward,0.3345969887843034,388.90544968768154,17710.0,17721.150932245062,ok,0.0006291525361334611,0.0014567554173026565,14500.531085576795,ok,-80.53139862117678,65.94540789702975,-0.1171035385623936,-63.65500926684581,61.262191327263736,-0.09256298735645471,1.3163693763207198,0.004743543374405371,0.005390869595656468
3,1,0.5517166666666666,Forward,0.3346867861750421,388.98054752689495,17710.0,17721.087546617797,ok,0.0006405664896522653,0.001523271267418756,14500.895628337556,ok,-80.59478424844201,65.94531572576024,-0.1171957098319089,-63.29046650608507,61.262721421711035,-0.09203289290915473,1.3163693763207198,0.0039535720079067055,0.005390869595656468
4,1,0.6867666666666666,Forward,0.33467461894095024,388.89151935324116,17710.0,17720.984905882466,ok,0.0006353268839938755,0.0015103212686229986,14500.440395804511,ok,-80.69742498377309,65.94516647225771,-0.11734496333443971,-63.74569903912925,61.26205945207682,-0.09269486254337113,1.3163693763207198,0.0046757150599126,0.005390869595656468
5,1,0.82235,Forward,0.334772240515427,389.0357021564232,17710.0,17720.85647816858,ok,0.0006318509214000557,0.001718381325905776,14500.381201820217,ok,-80.82585269765696,65.94497972100288,-0.11753171458926423,-63.804893023423574,61.261973376022745,-0.09278093859744639,1.3163693763207198,0.004602271686707279,0.005390869595656468
6,1,0.9581833333333334,Forward,0.3347353659967176,389.0891273896341,17710.0,17720.823995744096,ok,0.0006268749030553556,0.0015494430591200992,14500.725352839061,ok,-80.85833512214231,65.94493248716722,-0.11757894842492893,-63.460742004579515,61.262473818121066,-0.09228049649912805,1.3163693763207198,0.003896271198194634,0.005390869595656468
7,1,1.0948333333333333,Forward,0.33472370393342366,388.9728134095276,17710.0,17720.793476105016,ok,0.0006448240152550135,0.0012911894406961374,14500.224345430635,ok,-80.88885476122232,65.94488810748683,-0.11762332810531581,-63.961749413005236,61.261745285630916,-0.09300902898927653,1.3163693763207198,0.0048109093774938855,0.005390869595656468
8,1,1.2304333333333333,Forward,0.3349323655390622,389.21174231803525,17710.0,17720.727821851833,ok,0.0006300868459191635,0.0013594959468489704,14500.348185120127,ok,-80.95450901440563,65.9447926373286,-0.11771879826355314,-63.8379097235138,61.26192536527813,-0.09282894934205554,1.3163693763207198,0.004478387886356211,0.005390869595656468
9,1,1.3668,Forward,0.3348398394870453,389.08478496967655,17710.0,17720.71104303323,ok,0.000631103377092485,0.001175533679669385,14500.059233051232,ok,-80.97128783301014,65.94476823865845,-0.11774319693370075,-64.12686179240882,61.26150518991397,-0.09324912470622254,1.3163693763207198,0.005007095198282449,0.005390869595656468
10,1,1.5034,Forward,0.3349921934211584,389.41702049054584,17710.0,17720.679862612335,ok,0.0006254848462333037,0.002241377699144834,14500.006610883502,ok,-81.00246825390423,65.94472289811199,-0.1177885374801594,-64.1794839601389,61.26142867016945,-0.09332564445073863,1.3163693763207198,0.005062482900188653,0.005390869595656468
11,1,1.63895,Forward,0.33495239051738546,389.1400949488743,17705.0,17720.615578974615,ok,0.0006326196857623482,0.0014982618284982042,14499.83189845394,ok,-81.06675189162343,65.9446294210139,-0.11788201457825367,-64.35419638970052,61.26117461468199,-0.09357969993819813,1.3163693763207198,0.005303436665672304,0.005390869595656468
12,1,1.7745166666666667,Forward,0.3349626258955737,389.19077188365554,17710.0,17720.54834905656,ok,0.0006321762077674459,0.0017233905476629558,14500.358468694461,ok,-81.13398180967852,65.94453165962597,-0.11797977596618815,-63.827626149179196,61.26194031898519,-0.09281399563500127,1.3163693763207198,0.004197725581692485,0.005390869595656468
