scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,2,0.14448333333333332,Forward,0.08935669194584106,19820.0,19820.026933580986,ok,0.0004875918032668302,14300.089989115506,ok,-117.18807993832888,68.96880700430847,-0.16586235311760644,-70.4395587384497,61.15615463256836,-0.09969675218736868,1.2560026566024527,-0.04064296751563501,0.012205692657117018
1,2,0.28031666666666666,Forward,0.08943688196756225,19795.0,19819.20577411218,ok,0.0004832541468671135,14299.453915037393,ok,-118.00923940713619,68.96764477482358,-0.1670245826024897,-71.07563281656257,61.15525436401367,-0.10059702074205813,1.2560026566024527,-0.040674457304172656,0.012205692657117018
2,2,0.4159,Forward,0.08939386279257838,19835.0,19818.723849441645,ok,0.0004897019338589572,14299.3029822053,ok,-118.49116407766996,68.96696268190149,-0.16770667552458746,-71.2265656486561,61.1550407409668,-0.10081064378893212,1.2560026566024527,-0.041088239111885166,0.012205692657117018
3,2,0.5517166666666666,Forward,0.08954151771687288,19820.0,19819.307400442358,ok,0.00048601473334300795,14299.170915977216,ok,-117.9076130769572,68.96778861182707,-0.16688074559900723,-71.35863187673931,61.15485382080078,-0.10099756395494879,1.2560026566024527,-0.04002753696121544,0.012205692657117018
4,2,0.6867666666666666,Forward,0.08942330186080102,19835.0,19818.46275688554,ok,0.0004843852123841049,14299.03615451999,ok,-118.75225663377569,68.9665931440973,-0.16807621332877348,-71.49339333396529,61.1546630859375,-0.10118829881822858,1.2560026566024527,-0.04098344119599556,0.012205692657117018
5,2,0.82235,Forward,0.08946688105444958,19830.0,19819.699641566163,ok,0.0004780490885311787,14298.815145730137,ok,-117.51537195315177,68.96834377098506,-0.16632558644102716,-71.71440212381822,61.15435028076172,-0.10150110399401073,1.2560026566024527,-0.03883993017646786,0.012205692657117018
6,2,0.9581833333333334,Forward,0.08950855613884826,19825.0,19817.5364144245,ok,0.0004820068775019515,14298.836707563294,ok,-119.67859909481558,68.9652820436811,-0.16938731374497357,-71.69284029066148,61.154380798339844,-0.10147058641588513,1.2560026566024527,-0.0419399876396131,0.012205692657117018
7,2,1.0948333333333333,Forward,0.0895248432639133,19820.0,19818.788238449757,ok,0.00048554308626317023,14298.569879877985,ok,-118.42677506955806,68.9670538149963,-0.16761554242977125,-71.95966797597066,61.15400314331055,-0.10184824144518159,1.2560026566024527,-0.03969388060433515,0.012205692657117018
8,2,1.2304333333333333,Forward,0.08951389572323315,19820.0,19817.800358211312,ok,0.00048069669212285986,14298.467461170492,ok,-119.4146553080027,68.96565561697965,-0.16901374044643844,-72.06208668346335,61.15385818481445,-0.10199319994127558,1.2560026566024527,-0.04091001036481118,0.012205692657117018
9,2,1.3668,Forward,0.08955385265844351,19815.0,19819.14280119116,ok,0.00047908333793557844,14298.400080441877,ok,-118.07221232815573,68.9675556459901,-0.16711371143597248,-72.12946741207816,61.15376281738281,-0.10208856737291803,1.2560026566024527,-0.038890199606848946,0.012205692657117018
10,2,1.5034,Forward,0.0895154258031075,19820.0,19819.062991664665,ok,0.00048168402804009685,14298.289576046953,ok,-118.15202185465023,68.96744268743774,-0.16722666998834868,-72.2399718070028,61.15360641479492,-0.10224496996080654,1.2560026566024527,-0.03880671609333769,0.012205692657117018
11,2,1.63895,Forward,0.08947327752524734,19820.0,19818.24171819238,ok,0.0004917567551225304,14298.289576046953,ok,-118.97329532693402,68.96628029659783,-0.16838906082825103,-72.2399718070028,61.15360641479492,-0.10224496996080654,1.2560026566024527,-0.039969106933240045,0.012205692657117018
12,2,1.7745166666666667,Forward,0.08945362063337159,19820.0,19817.387017837827,ok,0.0004820743353798015,14298.289576046953,ok,-119.82799568148766,68.96507059496187,-0.16959876246421368,-72.2399718070028,61.15360641479492,-0.10224496996080654,1.2560026566024527,-0.041178808569202696,0.012205692657117018
13,2,1.9103666666666668,Forward,0.08947664471029448,19820.0,19817.242707201734,ok,0.0004842592670545225,14298.289576046953,ok,-119.97230631758066,68.96486634465164,-0.16980301277444046,-72.2399718070028,61.15360641479492,-0.10224496996080654,1.2560026566024527,-0.041383058879429474,0.012205692657117018
14,2,2.0468166666666665,Forward,0.08946413042869414,19825.0,19818.112346189533,ok,0.00047954664341058243,14298.432423191613,ok,-119.10266732978198,68.9660971897082,-0.16857216771788683,-72.09712466234305,61.15380859375,-0.10204279100572966,1.2560026566024527,-0.04040615112756152,0.012205692657117018
15,2,2.1837,Forward,0.08944462308426815,19805.0,19818.454460567456,ok,0.0004850739394709148,14298.489023003649,ok,-118.7605529518587,68.96658140188904,-0.16808795553702693,-72.04052485030661,61.15388870239258,-0.10196268236314998,1.2560026566024527,-0.0400225556145985,0.012205692657117018
16,2,2.3187166666666665,Forward,0.08943347641653118,19805.0,19818.336837804352,ok,0.0004807893340871238,14298.489023003649,ok,-118.87817571496271,68.96641492430636,-0.16825443311972044,-72.04052485030661,61.15388870239258,-0.10196268236314998,1.2560026566024527,-0.040189033197292,0.012205692657117018
17,2,2.4539833333333334,Forward,0.08947664133451652,19810.0,19818.590754167875,ok,0.0004866224485036515,14298.510584836804,ok,-118.62425935143983,68.96677430527387,-0.16789505215220965,-72.01896301715169,61.1539192199707,-0.10193216478502697,1.2560026566024527,-0.03986798238897679,0.012205692657117018
18,2,2.5890166666666667,Forward,0.08953789049949956,19810.0,19818.978665926534,ok,0.00047387207886597025,14298.510584836804,ok,-118.23634759278139,68.96732333685735,-0.16734602056873343,-72.01896301715169,61.1539192199707,-0.10193216478502697,1.2560026566024527,-0.039318950805500574,0.012205692657117018
19,2,2.7235833333333335,Forward,0.08942269015814786,19805.0,19819.436318359647,ok,0.00047950361570016386,14298.489023003649,ok,-117.77869515966813,68.96797107602592,-0.16669828140015835,-72.04052485030661,61.15388870239258,-0.10196268236314998,1.2560026566024527,-0.03863288147772992,0.012205692657117018
20,2,2.8588833333333334,Forward,0.08941506226396229,19820.0,19818.45607828852,ok,0.00048552962860332635,14298.510584836804,ok,-118.75893523079503,68.96658369153337,-0.16808566589270094,-72.01896301715169,61.1539192199707,-0.10193216478502697,1.2560026566024527,-0.04005859612946808,0.012205692657117018
21,2,2.9933833333333335,Forward,0.08942967831075121,19820.0,19819.207322259772,ok,0.00047962181875625735,14298.294966505242,ok,-118.00769125954321,68.96764696599698,-0.16702239142909664,-72.23458134871362,61.15361404418945,-0.10223734056627515,1.2560026566024527,-0.03861202007388534,0.012205692657117018
22,2,3.127883333333333,Forward,0.08942863179523472,19820.0,19818.650930586584,ok,0.00048228717319180603,14298.294966505242,ok,-118.56408293273125,68.96685947607293,-0.16780988135314504,-72.23458134871362,61.15361404418945,-0.10223734056627515,1.2560026566024527,-0.039399509997933735,0.012205692657117018
23,2,3.2629333333333332,Forward,0.08935397816136778,19805.0,19819.307758718423,ok,0.0004896944200390068,14298.596832169429,ok,-117.90725480089168,68.96778911891373,-0.16688023851235367,-71.93271568452656,61.1540412902832,-0.10181009447252717,1.2560026566024527,-0.03900648938591286,0.012205692657117018
24,2,3.3979833333333334,Forward,0.08928394637180978,19820.0,19819.940525279453,ok,0.0004907407610990985,14298.596832169429,ok,-117.27448823986197,68.96868470616835,-0.16598465125773054,-71.93271568452656,61.1540412902832,-0.10181009447252717,1.2560026566024527,-0.03811090213128973,0.012205692657117018
25,2,3.5335833333333335,Forward,0.08937865289627656,19825.0,19819.56357337103,ok,0.00048516234460678953,14298.386604296156,ok,-117.65144014828547,68.968151186628,-0.1665181707980814,-72.1429435577993,61.153743743896484,-0.10210764085924395,1.2560026566024527,-0.03827070261946186,0.012205692657117018
26,2,3.668083333333333,Forward,0.08935941713878745,19810.0,19818.430563397374,ok,0.00048053954420723563,14298.386604296156,ok,-118.78445012194061,68.96654757898774,-0.16812177843833845,-72.1429435577993,61.153743743896484,-0.10210764085924395,1.2560026566024527,-0.03987431025971891,0.012205692657117018
27,2,3.803383333333333,Forward,0.08934448225878414,19820.0,19818.808264146548,ok,0.00047907109909917664,14298.386604296156,ok,-118.40674937276708,68.96708215840115,-0.16758719902492736,-72.1429435577993,61.153743743896484,-0.10210764085924395,1.2560026566024527,-0.03933973084630782,0.012205692657117018
28,2,3.9384166666666665,Forward,0.08929601975635232,19835.0,19820.01227799123,ok,0.0004830654626994172,14298.386604296156,ok,-117.2027355280843,68.96878626149397,-0.1658830959321012,-72.1429435577993,61.153743743896484,-0.10210764085924395,1.2560026566024527,-0.03763562775348167,0.012205692657117018
29,2,4.072666666666667,Forward,0.08933494208625845,19820.0,19818.450052935415,ok,0.0004888481487757687,14298.39468998359,ok,-118.76496058389966,68.96657516353936,-0.16809419388671554,-72.13485787036552,61.15375518798828,-0.10209619676744687,1.2560026566024527,-0.03986109951779551,0.012205692657117018
30,2,4.2077,Forward,0.08941063756898188,19835.0,19820.477988891107,ok,0.0004763571706796811,14298.39468998359,ok,-116.73702462820802,68.96944540622752,-0.16522395119855282,-72.13485787036552,61.15375518798828,-0.10209619676744687,1.2560026566024527,-0.036990856829632796,0.012205692657117018
31,2,4.3422,Forward,0.08932167033464727,19835.0,19819.76988368878,ok,0.0004856458082297272,14298.39468998359,ok,-117.44512983053573,68.96844318829568,-0.16622616913039964,-72.13485787036552,61.15375518798828,-0.10209619676744687,1.2560026566024527,-0.03799307476147962,0.012205692657117018
32,2,4.478316666666666,Forward,0.08929734204808287,19820.0,19820.220600351153,ok,0.0004861944571485613,14298.39468998359,ok,-116.99441316816228,68.96908111090906,-0.16558824651702536,-72.13485787036552,61.15375518798828,-0.10209619676744687,1.2560026566024527,-0.037355152148105336,0.012205692657117018
33,2,4.6134,Forward,0.0892443505425424,19825.0,19820.15522811443,ok,0.00048392978990766003,14298.386604296156,ok,-117.0597854048865,68.96898858619991,-0.1656807712261711,-72.1429435577993,61.153743743896484,-0.10210764085924395,1.2560026566024527,-0.03743330304755155,0.012205692657117018
34,2,4.748683333333333,Forward,0.08917637429485872,19820.0,19818.51184167598,ok,0.000474529944518424,14298.251842838928,ok,-118.70317184333544,68.96666261634098,-0.16800674108510338,-72.2777050150271,61.1535530090332,-0.10229837572252633,1.2560026566024527,-0.039519709411494464,0.012205692657117018
35,2,4.884,Forward,0.08922212278386846,19810.0,19819.430737769402,ok,0.0004846189839589609,14298.251842838928,ok,-117.78427574991292,68.96796317752779,-0.16670617989828437,-72.2777050150271,61.1535530090332,-0.10229837572252633,1.2560026566024527,-0.03821914822467545,0.012205692657117018
