scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,2,0.14448333333333332,Forward,0.08935669194584106,469.0860765005018,19820.0,19828.742853979395,ok,0.0004875918032668302,14467.599554612794,ok,-112.67714287196941,68.98114309743012,-0.15947779048132502,-67.91782063022765,61.39323958794701,-0.09612760576227011,1.2560026566024527,-0.03874126227108052,0.012205692657117018
1,2,0.28031666666666666,Forward,0.08943688196756225,469.3104886163237,19795.0,19828.46491070968,ok,0.0004832541468671135,14466.551564142987,ok,-112.95508614168284,68.98074970993906,-0.1598711779723747,-68.96581110003535,61.39175631280965,-0.09761088089962713,1.2560026566024527,-0.03727165224913742,0.012205692657117018
2,2,0.4159,Forward,0.08939386279257838,470.0954223639055,19835.0,19828.271419667733,ok,0.0004897019338589572,14466.870328921628,ok,-113.14857718363055,68.98047585205572,-0.16014503585571502,-68.64704632139365,61.39220747709449,-0.09715971661479245,1.2560026566024527,-0.03811217367279425,0.012205692657117018
3,2,0.5517166666666666,Forward,0.08954151771687288,469.07408653440507,19820.0,19828.20998002487,ok,0.00048601473334300795,14466.653827166321,ok,-113.21001682649512,68.98038889335015,-0.16023199456128973,-68.86354807670068,61.3919010509579,-0.09746614275137745,1.2560026566024527,-0.037814260336765756,0.012205692657117018
4,2,0.6867666666666666,Forward,0.08942330186080102,469.403788934982,19835.0,19828.172142354633,ok,0.0004843852123841049,14466.45271763382,ok,-113.24785449673072,68.98033533973765,-0.1602855481737823,-69.06465760920219,61.39161641023068,-0.09775078347859678,1.2560026566024527,-0.037510304439693595,0.012205692657117018
5,2,0.82235,Forward,0.08946688105444958,469.75931137461885,19830.0,19828.215409936412,ok,0.0004780490885311787,14466.372950243422,ok,-113.2045869149515,68.98039657858492,-0.16022430932652593,-69.14442499960023,61.391503511315705,-0.09786368239357544,1.2560026566024527,-0.0373072642552965,0.012205692657117018
6,2,0.9581833333333334,Forward,0.08950855613884826,469.99306735121354,19825.0,19828.078778340554,ok,0.0004820068775019515,14466.776285648495,ok,-113.34121851081,68.98020319681765,-0.1604176910937776,-68.74108959452678,61.39207437278401,-0.09729282092527311,1.2560026566024527,-0.038217649543287865,0.012205692657117018
7,2,1.0948333333333333,Forward,0.0895248432639133,470.3198694303901,19820.0,19828.105938326687,ok,0.00048554308626317023,14466.31110487958,ok,-113.31405852467651,68.98024163775136,-0.1603792501600827,-69.20627036344194,61.39141597837224,-0.09795121533704204,1.2560026566024527,-0.037352263479318984,0.012205692657117018
8,2,1.2304333333333333,Forward,0.08951389572323315,470.18660784673557,19820.0,19828.194431790645,ok,0.00048069669212285986,14466.29166226801,ok,-113.22556506071851,68.98036688712975,-0.1602540007816875,-69.22571297501236,61.391388460238076,-0.0979787334712031,1.2560026566024527,-0.03719245125131275,0.012205692657117018
9,2,1.3668,Forward,0.08955385265844351,469.92335662419646,19815.0,19828.168539232658,ok,0.00047908333793557844,14466.23624171676,ok,-113.2514576187059,68.9803302400527,-0.16029064785874758,-69.28113352626133,61.39131002066431,-0.0980571730449726,1.2560026566024527,-0.03713057801533558,0.012205692657117018
10,2,1.5034,Forward,0.0895154258031075,470.19146011180055,19820.0,19828.237470840395,ok,0.00048168402804009685,14466.597201775552,ok,-113.18252601096901,68.9804278025238,-0.16019308538763757,-68.9201734674698,61.391820906112414,-0.09754628759686099,1.2560026566024527,-0.03767468902427329,0.012205692657117018
11,2,1.63895,Forward,0.08947327752524734,469.2207202696118,19820.0,19828.378517933932,ok,0.0004917567551225304,14466.459501129288,ok,-113.04147891743196,68.98062743377339,-0.15999345413805344,-69.05787411373421,61.391626011262815,-0.09774118244646729,1.2560026566024527,-0.0372302693258255,0.012205692657117018
12,2,1.7745166666666667,Forward,0.08945362063337159,469.8091818234934,19820.0,19828.325578834156,ok,0.0004820743353798015,14466.341564489174,ok,-113.09441801720823,68.98055250632629,-0.16006838158515763,-69.17581075384805,61.391459089433745,-0.09790810427553352,1.2560026566024527,-0.03709554251217756,0.012205692657117018
13,2,1.9103666666666668,Forward,0.08947664471029448,469.51852684989353,19820.0,19828.090757435002,ok,0.0004842592670545225,14466.242727276836,ok,-113.32923941636182,68.98022015144986,-0.16040073646157918,-69.27464796618551,61.39131920001306,-0.09804799369621951,1.2560026566024527,-0.037252195904586935,0.012205692657117018
14,2,2.0468166666666665,Forward,0.08946413042869414,469.2724268331258,19825.0,19828.35899299095,ok,0.00047954664341058243,14466.645314147512,ok,-113.06100386041362,68.98059979911132,-0.16002108880012086,-68.87206109550971,61.39188900204189,-0.09747819166738106,1.2560026566024527,-0.03758822110508718,0.012205692657117018
15,2,2.1837,Forward,0.08944462308426815,469.06394594949234,19805.0,19828.412780062637,ok,0.0004850739394709148,14466.675466716593,ok,-113.00721678872651,68.98067592673695,-0.15994496117449525,-68.8419085264286,61.39193167853308,-0.09743551517619725,1.2560026566024527,-0.03756569526576291,0.012205692657117018
16,2,2.3187166666666665,Forward,0.08943347641653118,469.33285056595923,19805.0,19828.48761142908,ok,0.0004807893340871238,14466.546188366163,ok,-112.93238542228573,68.98078183944182,-0.15983904846962455,-68.97118687685906,61.391748704194555,-0.0976184895147208,1.2560026566024527,-0.03722996630561655,0.012205692657117018
17,2,2.4539833333333334,Forward,0.08947664133451652,469.26124407611496,19810.0,19828.57939000649,ok,0.0004866224485036515,14466.551922839606,ok,-112.84060684487486,68.98091173841127,-0.15970914950018017,-68.96545240341584,61.39175682049154,-0.09761037321774176,1.2560026566024527,-0.03711026142673962,0.012205692657117018
18,2,2.5890166666666667,Forward,0.08953789049949956,468.9733342500185,19810.0,19828.639429590305,ok,0.00047387207886597025,14466.027179577373,ok,-112.78056726105933,68.98099671554083,-0.15962417237061985,-69.49019566564857,61.39101412420108,-0.0983530695082035,1.2560026566024527,-0.03609245578331058,0.012205692657117018
19,2,2.7235833333333335,Forward,0.08942269015814786,469.5416724036877,19805.0,19828.522475794423,ok,0.00047950361570016386,14466.24635154232,ok,-112.8975210569406,68.98083118478205,-0.1597897031293891,-69.27102370070133,61.39132432962353,-0.09804286408575191,1.2560026566024527,-0.03664760537677149,0.012205692657117018
