scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,4,0.14448333333333332,Forward,0.31108333916689396,387.8174587889007,17650.0,17664.69621422991,ok,0.0005807951823457097,14444.45034599991,ok,-89.83950849309986,65.89564913642273,-0.13040034404746084,-67.47323005226826,61.22152328491211,-0.09793611474939258,1.1543942747104796,-0.017343453893373495,0.006507250918156904
1,4,0.28031666666666666,Forward,0.3112497955424244,387.9345437446318,17650.0,17664.295918112133,ok,0.00057518452223643,14443.898436330666,ok,-90.23980461087558,65.8950681141937,-0.1309813662764819,-68.02513972151246,61.22072219848633,-0.09873720117517251,1.1543942747104796,-0.01699970653892592,0.006507250918156904
2,4,0.4159,Forward,0.3112915784471245,387.9162311050459,17650.0,17664.174575800513,ok,0.0005719263780920876,14443.459536736551,ok,-90.36114692249612,65.89489198812792,-0.13115749234226562,-68.46403931562782,61.22008514404297,-0.09937425561853391,1.1543942747104796,-0.01644042060261436,0.006507250918156904
3,4,0.5517166666666666,Forward,0.3111138076622794,388.1898101595543,17650.0,17664.25338830087,ok,0.0005816686961915114,14443.404345769626,ok,-90.28233442213968,65.89500638297864,-0.13104309749155796,-68.5192302825526,61.22000503540039,-0.09945436426111243,1.1543942747104796,-0.016233548793559233,0.006507250918156904
4,4,0.6867666666666666,Forward,0.31124001216774944,388.18014706715985,17645.0,17664.204959409555,ok,0.0005809037093690303,14443.34652666142,ok,-90.33076331345364,65.89493608936066,-0.13111339110953407,-68.57704939075848,61.21992111206055,-0.0995382876009551,1.1543942747104796,-0.01620696178850639,0.006507250918156904
5,4,0.82235,Forward,0.31141831621834115,388.2402313409548,17655.0,17664.08119542558,ok,0.0005786237616161017,14442.923395914999,ok,-90.45452729742829,65.89475644828335,-0.13129303218684715,-69.00018013718,61.21930694580078,-0.10015245386072111,1.1543942747104796,-0.01567761285182523,0.006507250918156904
6,4,0.9581833333333334,Forward,0.31136991688631077,388.1253601995668,17650.0,17664.058246922603,ok,0.0005803506354372887,14442.923395914999,ok,-90.47747580040595,65.89472313896616,-0.13132634150402683,-69.00018013718,61.21930694580078,-0.10015245386072111,1.1543942747104796,-0.01571092216900491,0.006507250918156904
7,4,1.0948333333333333,Forward,0.3113133237813136,388.16762693740384,17650.0,17664.110977651955,ok,0.000589693514189643,14442.923395914999,ok,-90.42474507105362,65.89479967662052,-0.13124980384966126,-69.00018013718,61.21930694580078,-0.10015245386072111,1.1543942747104796,-0.015634384514639332,0.006507250918156904
8,4,1.2304333333333333,Forward,0.3112516798792608,388.0189408401384,17655.0,17664.164024108304,ok,0.0005898811553254242,14442.931280338846,ok,-90.37169861470466,65.89487667254664,-0.13117280792354336,-68.99229571333308,61.21931838989258,-0.10014100976892343,1.1543942747104796,-0.01557059958257194,0.006507250918156904
9,4,1.3668,Forward,0.311229276633718,388.00288897170685,17660.0,17664.12644935331,ok,0.0005760182347154701,14442.931280338846,ok,-90.4092733696998,65.89482213350185,-0.13122734696834726,-68.99229571333308,61.21931838989258,-0.10014100976892343,1.1543942747104796,-0.015625138627375842,0.006507250918156904
10,4,1.5034,Forward,0.3112830565709499,388.06856120096563,17650.0,17664.130450180928,ok,0.0005881815719726884,14442.931280338846,ok,-90.40527254208064,65.89482794062732,-0.1312215398428769,-68.99229571333308,61.21931838989258,-0.10014100976892343,1.1543942747104796,-0.01561933150190549,0.006507250918156904
11,4,1.63895,Forward,0.31112984305563235,388.0657992385386,17660.0,17664.204951208452,ok,0.0005855878777345738,14442.931280338846,ok,-90.33077151455655,65.89493607745692,-0.13111340301327953,-68.99229571333308,61.21931838989258,-0.10014100976892343,1.1543942747104796,-0.015511194672308118,0.006507250918156904
12,4,1.7745166666666667,Forward,0.31129995310917935,387.7938723287225,17650.0,17664.168440789857,ok,0.0005863316676219205,14442.855064241663,ok,-90.36728193315139,65.89488308327623,-0.13116639719396841,-69.0685118105157,61.219207763671875,-0.10025163598962823,1.1543942747104796,-0.015436482577182511,0.006507250918156904
13,4,1.9103666666666668,Forward,0.31150546732798723,388.0322385723339,17650.0,17664.056987093718,ok,0.0005855960443351532,14442.810385839868,ok,-90.4787356292909,65.89472131034842,-0.13132817012177855,-69.11319021231066,61.21914291381836,-0.10031648584314229,1.1543942747104796,-0.01552339320538021,0.006507250918156904
14,4,2.0468166666666665,Forward,0.311408573206864,387.80646110431553,17650.0,17664.078557171997,ok,0.0005851618155069774,14442.855064241663,ok,-90.45716555101171,65.89475261890826,-0.1312968615619265,-69.0685118105157,61.219207763671875,-0.10025163598962823,1.1543942747104796,-0.015566946945140589,0.006507250918156904
15,4,2.1837,Forward,0.3112510701348512,388.128543782459,17645.0,17664.075684850697,ok,0.0005858134951412048,14443.15992863039,ok,-90.46003787231166,65.89474844978832,-0.13130103068186058,-68.76364742178885,61.21965026855469,-0.09980913110681429,1.1543942747104796,-0.016081941168326536,0.006507250918156904
16,4,2.3187166666666665,Forward,0.3112341672152811,387.9897968833502,17655.0,17664.14206557265,ok,0.0005843370231407419,14443.15992863039,ok,-90.3936571503582,65.89484480014828,-0.1312046803219127,-68.76364742178885,61.21965026855469,-0.09980913110681429,1.1543942747104796,-0.015985590808378664,0.006507250918156904
17,4,2.4539833333333334,Forward,0.3112680731148175,387.9738046264829,17645.0,17664.17258424952,ok,0.0005739182739928628,14443.15992863039,ok,-90.3631384734872,65.8948890974294,-0.1311603830407877,-68.76364742178885,61.21965026855469,-0.09980913110681429,1.1543942747104796,-0.015941293527253653,0.006507250918156904
18,4,2.5890166666666667,Forward,0.31121977574297177,387.88190155044504,17650.0,17664.13359284179,ok,0.0005884906927559273,14443.15992863039,ok,-90.40212988121857,65.89483250214,-0.13121697833019155,-68.76364742178885,61.21965026855469,-0.09980913110681429,1.1543942747104796,-0.015997888816657507,0.006507250918156904
19,4,2.7235833333333335,Forward,0.31124692436778517,387.9466886608716,17650.0,17664.224130590184,ok,0.0005723799000452952,14442.978586881924,ok,-90.31159213282444,65.89496391596603,-0.13108556450415995,-68.94498917025521,61.21938705444336,-0.1000723452181426,1.1543942747104796,-0.015562622127485493,0.006507250918156904
20,4,2.8588833333333334,Forward,0.311156225086579,387.8806456161183,17655.0,17664.241407900474,ok,0.0005880713550282508,14442.847179817818,ok,-90.29431482253494,65.8949889936545,-0.13106048681569354,-69.0763962343608,61.21919631958008,-0.10026308008142328,1.1543942747104796,-0.015317361204860186,0.006507250918156904
21,4,2.9933833333333335,Forward,0.31111982339111577,387.8611304519727,17650.0,17664.181760937383,ok,0.0005814208596149627,14442.847179817818,ok,-90.35396178562587,65.89490241721793,-0.13114706325226252,-69.0763962343608,61.21919631958008,-0.10026308008142328,1.1543942747104796,-0.015403937641429166,0.006507250918156904
22,4,3.127883333333333,Forward,0.3112025774891093,387.6292246958692,17650.0,17664.235953651943,ok,0.0005823346818182942,14442.933908480127,ok,-90.29976907106538,65.89498107691611,-0.13106840355407312,-68.98966757205199,61.219322204589844,-0.10013719507165929,1.1543942747104796,-0.015470598877783182,0.006507250918156904
23,4,3.2629333333333332,Forward,0.31120182249369455,387.9264866563826,17650.0,17664.29734069177,ok,0.0005869282622151452,14442.933908480127,ok,-90.23838203123887,65.89507017904108,-0.13097930142909825,-68.98966757205199,61.219322204589844,-0.10013719507165929,1.1543942747104796,-0.01538149675280831,0.006507250918156904
24,4,3.3979833333333334,Forward,0.31116263511407244,387.8041283864295,17650.0,17664.186054185582,ok,0.0005757260544555575,14442.933908480127,ok,-90.34966853742662,65.89490864878633,-0.13114083168386179,-68.98966757205199,61.219322204589844,-0.10013719507165929,1.1543942747104796,-0.015543027007571847,0.006507250918156904
25,4,3.5335833333333335,Forward,0.31122302425943843,387.98918604360733,17650.0,17664.17997383259,ok,0.0005685268454489483,14442.933908480127,ok,-90.35574889041891,65.89489982326918,-0.13114965720100258,-68.98966757205199,61.219322204589844,-0.10013719507165929,1.1543942747104796,-0.01555185252471264,0.006507250918156904
26,4,3.668083333333333,Forward,0.31100173504494755,388.06098966970603,17660.0,17664.23110263895,ok,0.0005874551661452227,14443.078456250643,ok,-90.30462008405812,65.89497403576269,-0.1310754447075015,-68.84511980153547,61.21953201293945,-0.09992738672205001,1.1543942747104796,-0.015719841588786948,0.006507250918156904
27,4,3.803383333333333,Forward,0.311298770032972,387.8503253316776,17655.0,17664.239748405696,ok,0.0005862410513048351,14442.707888329865,ok,-90.29597431731236,65.89498658492928,-0.1310628955409142,-69.2156877223133,61.218994140625,-0.10046525903650165,1.1543942747104796,-0.015086375701871407,0.006507250918156904
28,4,3.9384166666666665,Forward,0.31087908792744684,387.9532980135409,17655.0,17664.350601396065,ok,0.0005878906580481508,14442.384626952164,ok,-90.18512132694377,65.89514748594405,-0.1309019945261467,-69.53894910001509,61.21852493286133,-0.1009344668001751,1.1543942747104796,-0.014383823931069586,0.006507250918156904
29,4,4.072666666666667,Forward,0.31118999869751296,387.7687745340954,17650.0,17664.398285974767,ok,0.0005832503054599802,14442.384626952164,ok,-90.13743674824218,65.89521669920637,-0.1308327812638221,-69.53894910001509,61.21852493286133,-0.1009344668001751,1.1543942747104796,-0.014314610668744995,0.006507250918156904
30,4,4.2077,Forward,0.31087431814807287,387.81858979340905,17650.0,17664.458666963612,ok,0.0005828593725071297,14442.828782828843,ok,-90.0770557593969,65.89530434106742,-0.130745139402781,-69.09479322333573,61.21916961669922,-0.10028978296228279,1.1543942747104796,-0.014971188139165162,0.006507250918156904
31,4,4.3422,Forward,0.31104368380117925,388.01013859175873,17650.0,17664.35794407114,ok,0.0005891322198406433,14442.828782828843,ok,-90.17777865186872,65.89515814369777,-0.13089133677242482,-69.09479322333573,61.21916961669922,-0.10028978296228279,1.1543942747104796,-0.015117385508808964,0.006507250918156904
32,4,4.478316666666666,Forward,0.31106225333208687,387.7811002861563,17660.0,17664.372709984418,ok,0.0005880522003911216,14442.865576806793,ok,-90.16301273859062,65.89517957614106,-0.13086990432912746,-69.05799924538587,61.21922302246094,-0.10023637720056378,1.1543942747104796,-0.015157604371076577,0.006507250918156904
33,4,4.6134,Forward,0.3109134513691105,387.760792946141,17650.0,17664.52183780179,ok,0.000574508890991859,14442.907627067307,ok,-90.01388492121987,65.89539603234189,-0.1306534481283048,-69.01594898487201,61.21928405761719,-0.10017534204431384,1.1543942747104796,-0.015011606805184888,0.006507250918156904
34,4,4.748683333333333,Forward,0.310725642974055,387.9454965865407,17650.0,17664.53131228479,ok,0.0005834495460942226,14442.965446175513,ok,-90.00441043821775,65.89540978437441,-0.13063969609577622,-68.95812987666613,61.21936798095703,-0.10009141870447119,1.1543942747104796,-0.01509473539568526,0.006507250918156904
35,4,4.884,Forward,0.31077364645837,387.82214096181633,17650.0,17664.534406794388,ok,0.0005686059371897311,14443.08634067449,ok,-90.0013159286209,65.89541427599644,-0.1306352044737398,-68.83723537768856,61.21954345703125,-0.09991594263025233,1.1543942747104796,-0.015292812349075771,0.006507250918156904
