scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,6,0.14448333333333332,Forward,0.6110405250092811,16230.0,16235.872857883198,ok,0.0005367560272466369,14456.74604019644,ok,-81.27164803155938,63.90600698722956,-0.11808898754194744,-67.31327351484833,61.320907635881696,-0.09780724902263443,,,0.0032809664999374553
1,6,0.28031666666666666,Forward,0.6116776154706809,16235.0,16235.267169803677,ok,0.0005273954850639741,14455.8364164018,ok,-81.87733611107979,63.90512691288865,-0.11896906188286664,-68.22289730948796,61.31958593814879,-0.09912894675554304,,,0.0032809664999374553
2,6,0.4159,Forward,0.6117608478915643,16235.0,16235.168409574078,ok,0.0005353835150488192,14456.242407638409,ok,-81.97609634067885,63.90498341271601,-0.11911256205550046,-67.81690607287965,61.32017584982455,-0.0985390350797842,,,0.0032809664999374553
3,6,0.5517166666666666,Forward,0.6116463737906241,16235.0,16235.083823444027,ok,0.0005265609160383393,14455.468561678454,ok,-82.06068247073017,63.90486050773377,-0.11923546703773945,-68.59075203283464,61.31905143942882,-0.09966344547551072,,,0.0032809664999374553
4,6,0.6867666666666666,Forward,0.6117025992524576,16230.0,16235.04212210331,ok,0.0005297585737329658,14455.639558500186,ok,-82.102383811447,63.90479991502741,-0.11929605974409725,-68.4197552111018,61.31929990051015,-0.09941498439418159,,,0.0032809664999374553
5,6,0.82235,Forward,0.6117199178116416,16235.0,16235.004104744321,ok,0.0005306056392038886,14455.298482640908,ok,-82.14040117043623,63.90474467520466,-0.11935129956684964,-68.76083107037994,61.318804311902404,-0.09991057300192722,,,0.0032809664999374553
6,6,0.9581833333333334,Forward,0.6117388706029481,16230.0,16235.02552840697,ok,0.000526569263403388,14454.203826640278,ok,-82.11897750778735,63.90477580412468,-0.11932017064682744,-69.85548707101043,61.31721375945328,-0.10150112545105408,,,0.0032809664999374553
7,6,1.0948333333333333,Forward,0.6115476396123489,16230.0,16235.060161321426,ok,0.0005401404419824514,14455.591856816525,ok,-82.08434459333148,63.9048261262961,-0.1192698484754088,-68.46745689476302,61.319230589210775,-0.09948429569355885,,,0.0032809664999374553
8,6,1.2304333333333333,Forward,0.6116828969702515,16235.0,16235.032775260675,ok,0.0005289776670670774,14455.942864067925,ok,-82.11173065408184,63.904786333917514,-0.11930964085399469,-68.11644964336301,61.31974060828805,-0.09897427661628343,,,0.0032809664999374553
9,6,1.3668,Forward,0.6116028436553586,16235.0,16234.98112552563,ok,0.0005253654440878708,14455.458873363068,ok,-82.16338038912727,63.904711286037156,-0.11938468873435705,-68.60044034822022,61.31903736215362,-0.09967752275070545,,,0.0032809664999374553
10,6,1.5034,Forward,0.6115908221642683,16235.0,16234.99930388319,ok,0.0005385482302772467,14455.931911912017,ok,-82.14520203156644,63.90473769947765,-0.1193582752938581,-68.12740179927096,61.319724694632626,-0.09899019027170812,,,0.0032809664999374553
11,6,1.63895,Forward,0.6115589665456537,16235.0,16235.074777243108,ok,0.0005268528176757342,14455.433225424724,ok,-82.0697286716495,63.90484736346103,-0.11924861131047831,-68.62608828656448,61.319000095294335,-0.09971478960999734,,,0.0032809664999374553
12,6,1.7745166666666667,Forward,0.611464250527116,16235.0,16234.984638330556,ok,0.0005260510075766913,14454.971611202533,ok,-82.15986758420149,63.90471639019816,-0.11937958457334685,-69.08770250875568,61.31832936254246,-0.1003855223618711,,,0.0032809664999374553
13,6,1.9103666666666668,Forward,0.6117238832839125,16235.0,16234.944165059947,ok,0.0005260397139207162,14455.14119583067,ok,-82.20034085480984,63.904657581897055,-0.11943839287445077,-68.9181178806175,61.31857577168421,-0.10013911322012785,,,0.0032809664999374553
14,6,2.0468166666666665,Forward,0.6114450970791792,16230.0,16234.98631669902,ok,0.0005399141718739186,14455.795783913607,ok,-82.15818921573737,63.90471882889403,-0.1193771458774738,-68.26352979768126,61.31952689850202,-0.09918798640231129,,,0.0032809664999374553
15,6,2.1837,Forward,0.6115437158672263,16230.0,16234.968398978419,ok,0.0005264114003616642,14455.369947589006,ok,-82.17610693633833,63.904692794163154,-0.11940318060835567,-68.68936612228208,61.31890815160014,-0.09980673330419726,,,0.0032809664999374553
16,6,2.3187166666666665,Forward,0.6114664030751112,16235.0,16234.9110180692,ok,0.0005284221568793006,14455.623813451806,ok,-82.23348784555674,63.90460941879625,-0.11948655597526353,-68.43550025948207,61.3192770227063,-0.09943786219802903,,,0.0032809664999374553
17,6,2.4539833333333334,Forward,0.6113975453012309,16235.0,16234.892294408179,ok,0.0005331285993205013,14455.879463436198,ok,-82.25221150657853,63.904582213021214,-0.11951376175029942,-68.17985027508985,61.319648486169314,-0.09906639873502322,,,0.0032809664999374553
18,6,2.5890166666666667,Forward,0.6115625366963046,16235.0,16234.929841850597,ok,0.0005245387913034028,14454.214636266717,ok,-82.21466406416039,63.90463677004777,-0.11945920472374293,-69.84467744457106,61.317229466011135,-0.1014854188931972,,,0.0032809664999374553
19,6,2.7235833333333335,Forward,0.6115481223632077,16235.0,16234.90705950645,ok,0.0005331502885900029,14455.41718345428,ok,-82.23744640830773,63.90460366694208,-0.11949230782943049,-68.64213025700883,61.318976786058045,-0.0997380988462911,,,0.0032809664999374553
20,6,2.8588833333333334,Forward,0.6114399018689738,16235.0,16235.037642354604,ok,0.000524687515901804,14455.420472405734,ok,-82.10686356015322,63.904793405881826,-0.11930256888968459,-68.6388413055538,61.318981564956424,-0.09973331994790764,,,0.0032809664999374553
21,6,2.9933833333333335,Forward,0.6114866630864934,16235.0,16234.983077161585,ok,0.0005269020378403371,14454.011317990273,ok,-82.161428753172,63.90471412179501,-0.11938185297650558,-70.04799572101547,61.31693404134589,-0.10178084355844788,,,0.0032809664999374553
22,6,3.127883333333333,Forward,0.6113379058708419,16235.0,16234.983537755077,ok,0.0005236869628432219,14455.0973737845,ok,-82.16096815968012,63.90471479104462,-0.11938118372689097,-68.96193992678855,61.31851209755935,-0.10020278734498804,,,0.0032809664999374553
23,6,3.2629333333333332,Forward,0.6114874186713296,16235.0,16235.011707823314,ok,0.0005241963631856768,14455.16465974437,ok,-82.13279809144296,63.90475572259846,-0.11934025217305042,-68.89465396691776,61.31860986512121,-0.1001050197831214,,,0.0032809664999374553
24,6,3.3979833333333334,Forward,0.6114457684546745,16235.0,16235.087779964706,ok,0.0005252877392008565,14455.262477868831,ok,-82.05672595005126,63.90486625662078,-0.11922971815073545,-68.79683584245686,61.31875199640021,-0.09996288850412538,,,0.0032809664999374553
25,6,3.5335833333333335,Forward,0.6113583731637575,16230.0,16235.033801797035,ok,0.0005375406850655658,14455.390836858674,ok,-82.11070411772198,63.904787825491056,-0.11930814928045894,-68.66847685261382,61.31893850403873,-0.09977638086561182,,,0.0032809664999374553
26,6,3.668083333333333,Forward,0.6115050065377043,16235.0,16234.990381345066,ok,0.0005227662772125072,14455.74665118,ok,-82.1541245696917,63.9047247348889,-0.11937123988260506,-68.31266253128888,61.31945550786448,-0.09925937703985119,,,0.0032809664999374553
27,6,3.803383333333333,Forward,0.6116437232739773,16235.0,16235.052036552059,ok,0.0005280500489257632,14455.240360671038,ok,-82.09246936269847,63.90481432087795,-0.11928165389355641,-68.81895304025056,61.31871985976267,-0.09999502514166113,,,0.0032809664999374553
28,6,3.9384166666666665,Forward,0.6114684741075683,16235.0,16235.089889912702,ok,0.0005202467931101006,14453.838183135944,ok,-82.0546160020549,63.90486932240852,-0.11922665236298916,-70.22113057534443,61.316682473669445,-0.1020324112348901,,,0.0032809664999374553
29,6,4.072666666666667,Forward,0.6113540008444832,16230.0,16235.0476560604,ok,0.0005143565651056026,14454.792212557493,ok,-82.09684985435706,63.904807955954425,-0.11928801881708667,-69.26710115379501,61.31806869347923,-0.10064619142509551,,,0.0032809664999374553
30,6,4.2077,Forward,0.6116074956186212,16230.0,16235.07707468903,ok,0.0005286401247925802,14455.361594697011,ok,-82.06743122572698,63.90485070168623,-0.11924527308528547,-68.69771901427703,61.31889601471621,-0.09981887018812445,,,0.0032809664999374553
31,6,4.3422,Forward,0.6112317489170789,16230.0,16235.027030920559,ok,0.0005326132564437144,14455.506599678596,ok,-82.11747499419835,63.90477798730065,-0.11931798747086397,-68.55271403269217,61.3191067092435,-0.09960817566083684,,,0.0032809664999374553
32,6,4.478316666666666,Forward,0.6114236958259056,16230.0,16235.100697080397,ok,0.000528680864693871,14455.596008362621,ok,-82.04380883435988,63.90488502539378,-0.11921094937772662,-68.46330534866684,61.31923662147279,-0.09947826343154491,,,0.0032809664999374553
33,6,4.6134,Forward,0.611462864470691,16230.0,16235.069422866352,ok,0.0005303870589102123,14455.517175390369,ok,-82.07508304840485,63.90483958346708,-0.11925639130442789,-68.54213832091955,61.31912207591965,-0.09959280898468331,,,0.0032809664999374553
34,6,4.748683333333333,Forward,0.6113963097908626,16235.0,16235.19271685402,ok,0.0005267042951178581,14453.665438872029,ok,-81.9517890607367,63.905018731577485,-0.11907724319403043,-70.3938748392593,61.31643147352704,-0.1022834113772948,,,0.0032809664999374553
35,6,4.884,Forward,0.6114127916442436,16230.0,16235.154489400229,ok,0.0005292725569898589,14455.492637181587,ok,-81.99001651452818,63.90496318648366,-0.11913278828784703,-68.566676529701,61.31908642151493,-0.09962846338940227,,,0.0032809664999374553
36,6,5.019033333333334,Forward,0.6115541734573368,16230.0,16235.104987646186,ok,0.0005177940218824293,14455.216294931477,ok,-82.03951826857156,63.90489125965361,-0.11920471511790544,-68.84301877981125,61.318684891863185,-0.10002999304114393,,,0.0032809664999374553
37,6,5.1538,Forward,0.6113484807753247,16235.0,16235.222156421265,ok,0.0005290392774738245,14453.506708368082,ok,-81.92234949349222,63.90506150773342,-0.11903446703809197,-70.55260534320587,61.31620083559909,-0.10251404930524471,,,0.0032809664999374553
38,6,5.288833333333334,Forward,0.6113543379546368,16235.0,16235.148556216142,ok,0.0005273236100525083,14455.263843895907,ok,-81.99594969861573,63.904954565473524,-0.11914140929798733,-68.79546981538078,61.318753981259114,-0.09996090364521978,,,0.0032809664999374553
39,6,5.42335,Forward,0.6113321849307178,16235.0,16235.224434203348,ok,0.0005224668479975644,14454.953843244473,ok,-81.92007171140904,63.905064817386744,-0.11903115738476809,-69.10547046681495,61.318303545418914,-0.10041133948541572,,,0.0032809664999374553
40,6,5.5584,Forward,0.6113020422928928,16230.0,16235.206987494483,ok,0.0005268377244625429,14453.597372182516,ok,-81.9375184202745,63.90503946704335,-0.1190565077281629,-70.46194152877251,61.31633257155268,-0.10238231335165646,,,0.0032809664999374553
41,6,5.6931666666666665,Forward,0.6113035579489885,16235.0,16235.263074445951,ok,0.0005278677204861359,14453.589114572376,ok,-81.88143146880611,63.90512096226922,-0.1189750125022922,-70.470199138912,61.316320573114794,-0.10239431178954354,,,0.0032809664999374553
