scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,6,0.14448333333333332,Forward,0.6110405250092811,16230.0,16235.872857883198,ok,0.0005367560272466369,1.4868313952083416e-11,14456.746040189486,ok,-81.27164803155938,63.90600698722956,-0.11808898754194744,-68.4350081635821,61.32090763587159,-0.09943714717491817,,,0.0032809664999374553
1,6,0.28031666666666666,Forward,0.6116776154706809,16235.0,16235.267169803677,ok,0.0005273954850639741,0.0011707319930378177,14455.648192364577,ok,-81.87733611107979,63.90512691288865,-0.11896906188286664,-69.53285598849106,61.319312445651406,-0.1010323373951077,,,0.0032809664999374553
2,6,0.4159,Forward,0.6117608478915643,16235.0,16235.168409574078,ok,0.0005353835150488192,0.0013695894906431121,14455.588908934431,ok,-81.97609634067885,63.90498341271601,-0.11911256205550046,-69.59213941863709,61.319226305891554,-0.10111847715495653,,,0.0032809664999374553
3,6,0.5517166666666666,Forward,0.6116463737906241,16235.0,16235.083823444027,ok,0.0005265609160383393,0.0013442836013103816,14454.843914754114,ok,-82.06068247073017,63.90486050773377,-0.11923546703773945,-70.3371335989541,61.3181438175871,-0.10220096545941562,,,0.0032809664999374553
4,6,0.6867666666666666,Forward,0.6117025992524576,16230.0,16235.04212210331,ok,0.0005297585737329658,0.001145236926736587,14455.170199273356,ok,-82.102383811447,63.90479991502741,-0.11929605974409725,-70.01084907971199,61.31861791414427,-0.10172686890223802,,,0.0032809664999374553
5,6,0.82235,Forward,0.6117199178116416,16235.0,16235.004104744321,ok,0.0005306056392038886,0.0015526455835028672,14454.717916575695,ok,-82.14040117043623,63.90474467520466,-0.11935129956684964,-70.46313177737284,61.31796074024485,-0.10238404280166197,,,0.0032809664999374553
6,6,0.9581833333333334,Forward,0.6117388706029481,16230.0,16235.02552840697,ok,0.000526569263403388,0.001034953950927183,14455.050468795756,ok,-82.11897750778735,63.90477580412468,-0.11932017064682744,-70.13057955731165,61.318443943870264,-0.10190083917625249,,,0.0032809664999374553
7,6,1.0948333333333333,Forward,0.6115476396123489,16230.0,16235.060161321426,ok,0.0005401404419824514,0.0007541123138039008,14455.094957394382,ok,-82.08434459333148,63.9048261262961,-0.1192698484754088,-70.08609095868633,61.318508586506354,-0.10183619654015405,,,0.0032809664999374553
8,6,1.2304333333333333,Forward,0.6116828969702515,16235.0,16235.032775260675,ok,0.0005289776670670774,0.0013635061080616085,14455.16335689337,ok,-82.11173065408184,63.904786333917514,-0.11930964085399469,-70.01769145969774,61.318607972058146,-0.10173681098837095,,,0.0032809664999374553
9,6,1.3668,Forward,0.6116028436553586,16235.0,16234.98112552563,ok,0.0005253654440878708,0.001027391910327424,14454.729128097866,ok,-82.16338038912727,63.904711286037156,-0.11938468873435705,-70.45192025520191,61.31797703076355,-0.10236775228296281,,,0.0032809664999374553
10,6,1.5034,Forward,0.6115908221642683,16235.0,16234.99930388319,ok,0.0005385482302772467,0.0025440327636355327,14454.647397746445,ok,-82.14520203156644,63.90473769947765,-0.1193582752938581,-70.53365060662327,61.31785827527274,-0.10248650777377122,,,0.0032809664999374553
11,6,1.63895,Forward,0.6115589665456537,16235.0,16235.074777243108,ok,0.0005268528176757342,0.0011040182726069776,14454.684443402532,ok,-82.0697286716495,63.90484736346103,-0.11924861131047831,-70.4966049505365,61.31791210319584,-0.10243267985067539,,,0.0032809664999374553
12,6,1.7745166666666667,Forward,0.611464250527116,16235.0,16234.984638330556,ok,0.0005260510075766913,0.0018484687181574955,14454.416974128371,ok,-82.15986758420149,63.90471639019816,-0.11937958457334685,-70.76407422469674,61.31752346611822,-0.10282131692829313,,,0.0032809664999374553
13,6,1.9103666666666668,Forward,0.6117238832839125,16235.0,16234.944165059947,ok,0.0005260397139207162,0.0009495039003849272,14454.405828934787,ok,-82.20034085480984,63.904657581897055,-0.11943839287445077,-70.77521941828127,61.317507271976,-0.10283751107050917,,,0.0032809664999374553
14,6,2.0468166666666665,Forward,0.6114450970791792,16230.0,16234.98631669902,ok,0.0005399141718739186,0.0016713971336070484,14454.55388461538,ok,-82.15818921573737,63.90471882889403,-0.1193771458774738,-70.62716373768853,61.317722399217104,-0.10262238382940488,,,0.0032809664999374553
15,6,2.1837,Forward,0.6115437158672263,16230.0,16234.968398978419,ok,0.0005264114003616642,0.0010721494802219183,14454.820537221627,ok,-82.17610693633833,63.904692794163154,-0.11940318060835567,-70.36051113144094,61.31810984966336,-0.10223493338315612,,,0.0032809664999374553
16,6,2.3187166666666665,Forward,0.6114664030751112,16235.0,16234.9110180692,ok,0.0005284221568793006,0.001979025341420614,14454.614072317197,ok,-82.23348784555674,63.90460941879625,-0.11948655597526353,-70.56697603587054,61.317809852897966,-0.10253493014854186,,,0.0032809664999374553
17,6,2.4539833333333334,Forward,0.6113975453012309,16235.0,16234.892294408179,ok,0.0005331285993205013,0.0016497053109397347,14454.416832378272,ok,-82.25221150657853,63.904582213021214,-0.11951376175029942,-70.76421597479566,61.31752326015309,-0.10282152289342453,,,0.0032809664999374553
18,6,2.5890166666666667,Forward,0.6115625366963046,16235.0,16234.929841850597,ok,0.0005245387913034028,0.0010289659488344548,14455.182654271124,ok,-82.21466406416039,63.90463677004777,-0.11945920472374293,-69.99839408194384,61.31863601145265,-0.10170877159386664,,,0.0032809664999374553
