scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,6,0.14448333333333332,Forward,0.6110405250092811,287.6106407638272,16230.0,16247.142786569972,ok,0.0005367560272466369,14458.52412114086,ok,-79.4699183837165,63.92238237151824,-0.11547104592157506,-67.08215979460874,61.32349121556268,-0.09747143713877121,,,0.0032809664999374553
1,6,0.28031666666666666,Forward,0.6116776154706809,287.8513519589105,16235.0,16246.628933953292,ok,0.0005273954850639741,14457.21914300249,ok,-79.98377100039579,63.921635735554545,-0.11621768188527391,-68.38713793297757,61.32159506172728,-0.09936759097417158,,,0.0032809664999374553
2,6,0.4159,Forward,0.6117608478915643,287.81415394661235,16235.0,16246.533947041044,ok,0.0005353835150488192,14458.362138112963,ok,-80.0787579126445,63.921497718071585,-0.11635569936823219,-67.24414282250473,61.32325585166609,-0.09770680103536389,,,0.0032809664999374553
3,6,0.5517166666666666,Forward,0.6116463737906241,287.86250334490614,16235.0,16246.469942268579,ok,0.0005265609160383393,14457.095333910513,ok,-80.14276268510912,63.921404718126816,-0.11644869931300092,-68.51094702495539,61.321415165162186,-0.09954748753926242,,,0.0032809664999374553
4,6,0.6867666666666666,Forward,0.6117025992524576,287.8800025029341,16230.0,16246.420175618274,ok,0.0005297585737329658,14457.437229021622,ok,-80.19252933541429,63.92133240639831,-0.11652101104150936,-68.16905191384649,61.32191194415577,-0.09905070854567398,,,0.0032809664999374553
5,6,0.82235,Forward,0.6117199178116416,287.81838549519125,16235.0,16246.336720562904,ok,0.0005306056392038886,14456.69005773139,ok,-80.27598439078429,63.92121114488543,-0.11664227255438127,-68.91622320407805,61.32082629247624,-0.10013636022520671,,,0.0032809664999374553
6,6,0.9581833333333334,Forward,0.6117388706029481,287.8145643586304,16230.0,16246.357335173678,ok,0.000526569263403388,14457.080091583906,ok,-80.25536978001037,63.921241098240316,-0.11661231919950506,-68.5261893515617,61.32139301782101,-0.09956963488043635,,,0.0032809664999374553
7,6,1.0948333333333333,Forward,0.6115476396123489,287.85237461340694,16230.0,16246.384002140274,ok,0.0005401404419824514,14456.7992765381,ok,-80.2287028134142,63.92127984576374,-0.1165735716760768,-68.80700439736756,61.320984989126515,-0.09997766357493118,,,0.0032809664999374553
8,6,1.2304333333333333,Forward,0.6116828969702515,287.9186184097289,16235.0,16246.330328881328,ok,0.0005289776670670774,14458.338874174824,ok,-80.28237607236042,63.92120185767121,-0.1166515597686103,-67.26740676064401,61.32322204879672,-0.09774060390472418,,,0.0032809664999374553
9,6,1.3668,Forward,0.6116028436553586,287.8214024066092,16235.0,16246.32693943521,ok,0.0005253654440878708,14456.968094405425,ok,-80.285765518478,63.921196932752494,-0.11665648468732485,-68.63818653004273,61.3212302841527,-0.0997323685487538,,,0.0032809664999374553
