channel,spr,tir,flagged,samples,DeltaSPRAngle,DeltaTIRAngle,PureKineticsCandidate
L1 670nm,Weighted centroid,Derivative peak,0,148,0.00023120522295917012,0.0006416412997040761,0.0009450223540372972
L1 670nm,Weighted centroid,Derivative centroid,0,148,0.00023120522295917012,0.0007978637314095468,0.001204416666419521
L1 670nm,Weighted centroid,Edge template shift,0,148,0.00023120522295917012,0.0005357258735410278,0.0007598549614070584
L1 670nm,Weighted centroid,Vendor TIR (hybrid),0,148,0.00023120522295917012,0.00021595478723142022,0.0004679291479870374
L1 670nm,Local quadratic,Derivative peak,0,148,0.000941954495091777,0.0006416412997040761,0.0016796047935349033
L1 670nm,Local quadratic,Derivative centroid,0,148,0.000941954495091777,0.0007978637314095468,0.0013954086988813893
L1 670nm,Local quadratic,Edge template shift,0,148,0.000941954495091777,0.0005357258735410278,0.001333380850148429
L1 670nm,Local quadratic,Vendor TIR (hybrid),0,148,0.000941954495091777,0.00021595478723142022,0.0010198699890757884
L1 670nm,Vendor,Vendor,0,148,0.0003839196217482331,0.00021595478723338113,0.0005898861039548188
L2 785nm,Weighted centroid,Derivative peak,0,148,0.00010995402827110353,0.0004881315751096444,0.0005275253074603221
L2 785nm,Weighted centroid,Derivative centroid,0,148,0.00010995402827110353,0.0005965796362796924,0.0006851635206993324
L2 785nm,Weighted centroid,Edge template shift,0,148,0.00010995402827110353,0.0004646562935060447,0.0005524600682496682
L2 785nm,Weighted centroid,Vendor TIR (hybrid),0,148,0.00010995402827110353,0.00019995813632906156,0.00024465962124646566
L2 785nm,Local quadratic,Derivative peak,0,148,0.00020071475525239977,0.0004881315751096444,0.0006036195557575107
L2 785nm,Local quadratic,Derivative centroid,0,148,0.00020071475525239977,0.0005965796362796924,0.0006411735667605646
L2 785nm,Local quadratic,Edge template shift,0,148,0.00020071475525239977,0.0004646562935060447,0.0006157966849826668
L2 785nm,Local quadratic,Vendor TIR (hybrid),0,148,0.00020071475525239977,0.00019995813632906156,0.0002810586951788471
L2 785nm,Vendor,Vendor,0,148,0.0003199330181235276,0.00019995813632720476,0.00041355875182606783
L3 670nm,Weighted centroid,Derivative peak,0,148,0.0001663793420568981,0.0005116988511048887,0.0006612086732523521
L3 670nm,Weighted centroid,Derivative centroid,0,148,0.0001663793420568981,0.0005361490907895912,0.0006794630297889814
L3 670nm,Weighted centroid,Edge template shift,0,148,0.0001663793420568981,0.0004501814482971102,0.000503934129762737
L3 670nm,Weighted centroid,Vendor TIR (hybrid),0,148,0.0001663793420568981,0.00017196399724202398,0.0002711839731526581
L3 670nm,Local quadratic,Derivative peak,0,148,0.0007818020451754012,0.0005116988511048887,0.0012210414709074452
L3 670nm,Local quadratic,Derivative centroid,0,148,0.0007818020451754012,0.0005361490907895912,0.0012516561450515652
L3 670nm,Local quadratic,Edge template shift,0,148,0.0007818020451754012,0.0004501814482971102,0.0009573880133119344
L3 670nm,Local quadratic,Vendor TIR (hybrid),0,148,0.0007818020451754012,0.00017196399724202398,0.0008199435025154281
L3 670nm,Vendor,Vendor,0,148,0.0005278894799038205,0.0001719639972413961,0.0007088755988804857
L5 785nm,Weighted centroid,Derivative peak,0,148,0.00011418098893788194,0.0005092099842126791,0.000617822689361688
L5 785nm,Weighted centroid,Derivative centroid,0,148,0.00011418098893788194,0.000620145385642429,0.0007832657399791597
L5 785nm,Weighted centroid,Edge template shift,0,148,0.00011418098893788194,0.000494684069469166,0.0005710323524931719
L5 785nm,Weighted centroid,Vendor TIR (hybrid),0,148,0.00011418098893788194,0.00017196399724343293,0.0002378296684522021
L5 785nm,Local quadratic,Derivative peak,0,148,0.00026516285985374343,0.0005092099842126791,0.0007071791184893667
L5 785nm,Local quadratic,Derivative centroid,0,148,0.00026516285985374343,0.000620145385642429,0.000796508200019406
L5 785nm,Local quadratic,Edge template shift,0,148,0.00026516285985374343,0.000494684069469166,0.0006278550195881674
L5 785nm,Local quadratic,Vendor TIR (hybrid),0,148,0.00026516285985374343,0.00017196399724343293,0.00033258140002078763
L5 785nm,Vendor,Vendor,0,148,0.00026394473995191024,0.0001719639972413961,0.00034371900768461204
L6 850nm,Weighted centroid,Derivative peak,0,148,9.111749221947368e-05,0.0005172128983648152,
L6 850nm,Weighted centroid,Derivative centroid,0,148,9.111749221947368e-05,0.0005753324287425997,
L6 850nm,Weighted centroid,Edge template shift,0,148,9.111749221947368e-05,0.0005086253145065897,
L6 850nm,Weighted centroid,Vendor TIR (hybrid),0,148,9.111749221947368e-05,0.00017196399723935652,
L6 850nm,Local quadratic,Derivative peak,0,148,0.00013661321182723484,0.0005172128983648152,
L6 850nm,Local quadratic,Derivative centroid,0,148,0.00013661321182723484,0.0005753324287425997,
L6 850nm,Local quadratic,Edge template shift,0,148,0.00013661321182723484,0.0005086253145065897,
L6 850nm,Local quadratic,Vendor TIR (hybrid),0,148,0.00013661321182723484,0.00017196399723935652,
L6 850nm,Vendor,Vendor,0,148,0.00014396985815558742,0.0001719639972413961,
L7 980nm,Weighted centroid,Derivative peak,0,148,7.74105929371111e-05,0.0005524092989996235,
L7 980nm,Weighted centroid,Derivative centroid,0,148,7.74105929371111e-05,0.000565678509573655,
L7 980nm,Weighted centroid,Edge template shift,0,148,7.74105929371111e-05,0.0004302653499476753,
L7 980nm,Weighted centroid,Vendor TIR (hybrid),0,148,7.74105929371111e-05,0.00017996232269241785,
L7 980nm,Local quadratic,Derivative peak,0,148,0.00010127392360708113,0.0005524092989996235,
L7 980nm,Local quadratic,Derivative centroid,0,148,0.00010127392360708113,0.000565678509573655,
L7 980nm,Local quadratic,Edge template shift,0,148,0.00010127392360708113,0.0004302653499476753,
L7 980nm,Local quadratic,Vendor TIR (hybrid),0,148,0.00010127392360708113,0.00017996232269241785,
L7 980nm,Vendor,Vendor,0,148,0.00015196818360867562,0.0001799623226944843,
