index,residual_calls,residual_point_evaluations,basic_residual_flops,expm1_calls,scalar_negations,nfev,njev,maximum_fit_samples
351,902,35342,141368,35342,36244,242,220,51
352,903,36516,146064,36516,37419,240,221,52
353,889,36977,147908,36977,37866,238,217,53
354,855,36750,147000,36750,37605,228,209,54
355,827,36705,146820,36705,37532,221,202,55
356,870,39320,157280,39320,40190,231,213,56
357,877,40389,161556,40389,41266,232,215,57
358,908,42444,169776,42444,43352,239,223,58
359,869,41731,166924,41731,42600,230,213,59
360,824,40720,162880,40720,41544,218,202,60
361,800,40480,161920,40480,41280,212,196,61
362,797,41254,165016,41254,42051,212,195,62
363,777,41111,164444,41111,41888,207,190,63
364,760,41140,164560,41140,41900,205,185,64
365,747,41315,165260,41315,42062,198,183,65
366,713,40218,160872,40218,40931,188,175,66
367,725,41415,165660,41415,42140,194,177,67
368,701,40768,163072,40768,41469,188,171,68
369,691,40819,163276,40819,41510,184,169,69
370,699,41830,167320,41830,42529,189,170,70
371,679,41429,165716,41429,42108,181,166,71
372,691,42732,170928,42732,43423,184,169,72
373,690,43290,173160,43290,43980,183,169,73
374,699,44386,177544,44386,45085,186,171,74
375,667,43165,172660,43165,43832,178,163,75
376,658,43328,173312,43328,43986,175,161,76
377,654,43758,175032,43758,44412,174,160,77
378,673,45434,181736,45434,46107,181,164,78
379,685,46895,187580,46895,47580,184,167,79
380,701,48540,194160,48540,49241,185,172,80
381,718,50118,200472,50118,50836,190,176,81
382,706,50012,200048,50012,50718,187,173,82
383,710,51050,204200,51050,51760,188,174,83
384,697,50928,203712,50928,51625,184,171,84
385,665,49465,197860,49465,50130,176,163,85
386,657,49602,198408,49602,50259,174,161,86
387,665,50795,203180,50795,51460,176,163,87
388,649,50292,201168,50292,50941,172,159,88
389,657,51493,205972,51493,52150,174,161,89
390,662,52500,210000,52500,53162,176,162,90
391,662,53162,212648,53162,53824,176,162,91
392,642,52384,209536,52384,53026,168,158,92
393,663,54719,218876,54719,55382,174,163,93
394,661,55234,220936,55234,55895,172,163,94
395,665,56195,224780,56195,56860,173,164,95
396,661,56476,225904,56476,57137,172,163,96
397,653,56441,225764,56441,57094,170,161,97
398,641,56158,224632,56158,56799,167,158,98
399,645,57115,228460,57115,57760,168,159,99
400,653,58400,233600,58400,59053,170,161,100
401,637,57597,230388,57597,58234,166,157,101
402,663,60366,241464,60366,61029,174,163,102
403,661,60863,243452,60863,61524,172,163,103
404,665,61860,247440,61860,62525,173,164,104
405,665,62525,250100,62525,63190,173,164,105
406,657,62502,250008,62502,63159,171,162,106
407,662,63594,254376,63594,64256,173,163,107
408,674,65312,261248,65312,65986,176,166,108
409,682,66698,266792,66698,67380,178,168,109
410,694,68460,273840,68460,69154,181,171,110
411,674,67174,268696,67174,67848,176,166,111
412,690,69320,277280,69320,70010,180,170,112
413,706,71498,285992,71498,72204,184,174,113
414,698,71452,285808,71452,72150,182,172,114
415,718,74050,296200,74050,74768,187,177,115
416,725,75360,301440,75360,76085,188,179,116
417,737,77409,309636,77409,78146,191,182,117
418,737,78066,312264,78066,78803,191,182,118
419,735,78525,314100,78525,79260,192,181,119
420,727,78460,313840,78460,79187,190,179,120
421,718,78198,312792,78198,78916,187,177,121
422,724,79528,318112,79528,80252,190,178,122
423,688,76544,306176,76544,77232,181,169,123
424,724,80976,323904,80976,81700,190,178,124
425,740,83460,333840,83460,84200,194,182,125
426,755,85870,343480,85870,86625,197,186,126
427,759,86973,347892,86973,87732,198,187,127
