edge,channel,channel_id,command_min,command_to_t10_min,command_to_t50_min,t10_min,t50_min,t90_min,width10_90_min,amplitude_mdeg,drift_mdeg_min,rmse_mdeg,center_min
PBS rise,L1 670nm,0,3.8080833333333337,6.109572301974099,6.6877233328496075,9.917655635307433,10.495806666182942,11.07395769705845,1.156302061751017,75.17855972729612,0.9354987877744169,2.2712778205083315,10.25
PBS rise,L2 785nm,1,3.8080833333333337,6.109840143496703,6.6862911465875445,9.917923476830037,10.494374479920879,11.07082548301172,1.152902006181682,74.75831170061056,0.989908585663767,2.325369127349144,10.25
PBS rise,L3 670nm,2,3.8080833333333337,4.103412660100693,4.4722487137515845,7.911495993434027,8.280332047084919,8.64916810073581,0.737672107301783,69.26873950075363,2.3464850500679137,2.028365795541616,10.25
PBS rise,L5 785nm,4,3.8080833333333337,4.101811281369514,4.465559076087132,7.909894614702848,8.273642409420466,8.637390204138084,0.7274955894352368,67.31013105564745,2.4032991728222237,2.0444673383771934,10.25
PBS rise,L6 850nm,5,3.8080833333333337,4.10364452201798,4.477390519457556,7.911727855351314,8.28547385279089,8.659219850230466,0.7474919948791524,68.8561038849092,2.3713011831685593,1.9648755522778323,10.25
PBS rise,L7 980nm,6,3.8080833333333337,4.104280822935884,4.467278869723183,7.912364156269217,8.275362203056517,8.638360249843817,0.7259960935745995,69.94057244423495,2.3433635482052644,1.9685048839586528,10.25
PBS decline,L1 670nm,0,,,,33.13608984966921,35.18030606599531,37.22452228232141,4.088432432652198,137.77631577959443,2.569301937045718,0.8127708047968137,34.0
PBS decline,L2 785nm,1,,,,33.145662314844685,35.19606939917813,37.24647648351157,4.100814168666887,137.1110871295861,2.4829823340761554,0.8473917693215799,34.0
PBS decline,L3 670nm,2,,,,31.2056421498897,32.99488417624988,34.78412620261007,3.578484052720363,119.05076328340128,-0.20005723054646884,0.8249531165970644,34.0
PBS decline,L5 785nm,4,,,,31.165259143210804,33.00079986271205,34.836340582213296,3.6710814390024926,116.98608294210318,-0.1949374262931968,0.8175987677733729,34.0
PBS decline,L6 850nm,5,,,,31.183664725138325,32.99989236720027,34.816120009262214,3.6324552841238877,120.55848311810148,0.009750112132553335,0.8334231936299439,34.0
PBS decline,L7 980nm,6,,,,31.194208736961286,33.00453778570777,34.81486683445425,3.6206580974929614,119.5794556598738,-0.17221657708955554,0.7618578389523387,34.0
Biotin rise,L1 670nm,0,36.41213333333334,6.070327937885288,6.719977228878818,42.482461271218625,43.132110562212155,43.781759853205685,1.299298581987059,68.04388769216978,0.3661571136712859,2.1833353461239913,42.75
Biotin rise,L2 785nm,1,36.41213333333334,6.082360838355058,6.7084389192567215,42.494494171688395,43.12057225259006,43.74665033349172,1.252156161803325,67.97798846333289,0.38583464634387676,2.075653236859781,42.75
Biotin rise,L3 670nm,2,36.41213333333334,4.045159368024336,4.47113655436813,40.45729270135767,40.883269887701466,41.30924707404526,0.8519543726875893,60.621047838998365,2.8960131349327978,1.2416199839855169,42.75
Biotin rise,L5 785nm,4,36.41213333333334,4.048421063345025,4.463060860814771,40.46055439667836,40.87519419414811,41.289833991617854,0.829279594939486,59.495386340668205,2.8485835524107426,1.263209346530643,42.75
Biotin rise,L6 850nm,5,36.41213333333334,4.0575119854302315,4.475698922190787,40.46964531876357,40.887832255524124,41.30601919228468,0.836373873521118,60.753887727677004,2.7968439138072703,1.3600803519403768,42.75
Biotin rise,L7 980nm,6,36.41213333333334,4.0475175463632524,4.467551050114352,40.45965087969659,40.87968438344769,41.29971788719879,0.8400670075022006,60.991597665910646,2.914873852614949,1.4269204133191062,42.75
Water-associated decline,L1 670nm,0,,,,66.12820551617604,67.90601935776601,69.68383319935599,3.5556276831799507,117.92019167031664,0.14855617903571552,2.0409953350094963,70.0
Water-associated decline,L2 785nm,1,,,,66.118739391009,67.92212921147453,69.72551903194005,3.6067796409310455,118.4819855664754,0.2040761013108532,2.094168021982882,70.0
Water-associated decline,L3 670nm,2,,,,63.917611288489034,65.6695486331333,67.42148597777758,3.503874689288542,119.71288411685704,-0.03978701592619643,1.2663222826881004,70.0
Water-associated decline,L5 785nm,4,,,,63.9182033584126,65.66565298137758,67.41310260434255,3.4948992459299566,117.64839144533738,-0.026936483966196252,1.240862173955356,70.0
Water-associated decline,L6 850nm,5,,,,63.908769694337124,65.6552236709949,67.40167764765268,3.4929079533155574,119.5255917706385,-0.045597995469384894,1.2598972083392053,70.0
Water-associated decline,L7 980nm,6,,,,63.918634548030596,65.67984902053244,67.44106349303429,3.5224289450036927,120.12575517091724,0.011613693694055368,1.2679411528504687,70.0
