edge,early_trace,late_trace,t50_delay_min,apparent_volume_uL,shift_fit_delay_min,shift_fit_rmse_mdeg
PBS rise,L3 670nm,L1 670nm,2.215474619098023,22.15474619098023,2.177362354242059,1.2961249203751108
PBS rise,L5 785nm,L2 785nm,2.2207320705004125,22.207320705004125,2.184450193146995,1.362236190061012
PBS rise,L1 670nm,L2 785nm,-0.0014321862620629844,-0.014321862620629844,0.005502159057357542,0.6608700083228359
PBS rise,L3 670nm,L5 785nm,-0.006689637664452519,-0.06689637664452519,-0.010771658584929258,0.6731193875799749
PBS rise,L3 670nm,L6 850nm,0.005141805705971336,0.05141805705971336,0.008215891510025924,0.6024556354969147
PBS rise,L3 670nm,L7 980nm,-0.0049698440284018375,-0.049698440284018375,-0.0075187243796781995,0.6277672810748324
PBS decline,L3 670nm,L1 670nm,2.1854218897454274,21.854218897454274,2.2154872679794977,1.1582206927899033
PBS decline,L5 785nm,L2 785nm,2.1952695364660784,21.952695364660784,2.2068571997043347,0.8793463808026437
PBS decline,L1 670nm,L2 785nm,0.015763333182817973,0.15763333182817973,0.03750851852673391,0.9558566833873916
PBS decline,L3 670nm,L5 785nm,0.0059156864621670024,0.059156864621670024,0.07943872141781778,0.6699579712213443
PBS decline,L3 670nm,L6 850nm,0.005008190950384517,0.05008190950384517,0.027100973340506762,0.6794057532553299
PBS decline,L3 670nm,L7 980nm,0.009653609457885182,0.09653609457885182,-0.32804365828090076,1.0186855812695632
Biotin rise,L3 670nm,L1 670nm,2.2488406745106886,22.488406745106886,2.23525492626727,1.2986888638855605
Biotin rise,L5 785nm,L2 785nm,2.2453780584419505,22.453780584419505,2.232910992889001,1.0939215564205569
Biotin rise,L1 670nm,L2 785nm,-0.011538309622096676,-0.11538309622096676,-0.03858025031555822,0.9421779731594639
Biotin rise,L3 670nm,L5 785nm,-0.008075693553358576,-0.08075693553358576,-0.041377098305301604,0.6452575908842684
Biotin rise,L3 670nm,L6 850nm,0.00456236782265762,0.0456236782265762,-0.3226516416492236,0.692659417663843
Biotin rise,L3 670nm,L7 980nm,-0.0035855042537775716,-0.035855042537775716,-0.022685718433062746,0.7459925750806496
Water-associated decline,L3 670nm,L1 670nm,2.23647072463271,22.3647072463271,2.1943876802609275,0.6938844408162684
Water-associated decline,L5 785nm,L2 785nm,2.2564762300969505,22.564762300969505,2.2129718360132107,0.8060650215177054
Water-associated decline,L1 670nm,L2 785nm,0.01610985370851381,0.1610985370851381,0.018478772581085698,0.6136574642866385
Water-associated decline,L3 670nm,L5 785nm,-0.0038956517557267034,-0.038956517557267034,0.029592459156399457,0.743444694362289
Water-associated decline,L3 670nm,L6 850nm,-0.014324962138402952,-0.14324962138402952,-0.02628486796201746,0.6045386441421311
Water-associated decline,L3 670nm,L7 980nm,0.010300387399141187,0.10300387399141187,0.02811130060396818,0.6929400004159167
